storm,iso3,adm1_name,CHD,ADAM,GDACS,sources,gdacs_vs_adam,ratio,n_gdacs,n_adam,caveat
Beryl (observed snapshot),BRB,Christ Church,52861,42256,0,CHD+ADAM,ADAM only,1.25,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Andrew,5524,4430,0,CHD+ADAM,ADAM only,1.25,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint George,20558,20414,0,CHD+ADAM,ADAM only,1.01,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint James,26402,37821,0,CHD+ADAM,ADAM only,1.43,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint John,8838,9486,0,CHD+ADAM,ADAM only,1.07,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Joseph,6451,7033,0,CHD+ADAM,ADAM only,1.09,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Lucy,9267,11969,0,CHD+ADAM,ADAM only,1.29,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Michael,86657,77061,0,CHD+ADAM,ADAM only,1.12,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Peter,10225,11096,0,CHD+ADAM,ADAM only,1.09,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Philip,29874,35409,0,CHD+ADAM,ADAM only,1.19,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),BRB,Saint Thomas,14853,16422,0,CHD+ADAM,ADAM only,1.11,,1,"Boundaries are significantly different between OCHA & ADAM, numbers may not be directly comparable"
Beryl (observed snapshot),CUB,Camagüey,0,17,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),CUB,Granma,27536,157001,0,CHD+ADAM,ADAM only,5.7,,1,
Beryl (observed snapshot),CUB,Isla de la Juventud,0,4217,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),CUB,Pinar del Río,0,375,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),CUB,Santiago de Cuba,0,16501,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),CYM,Bodden Town,7158,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),CYM,East End,1539,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),CYM,George Town,25746,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),CYM,North Side,15663,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),CYM,Sister Islands,1317,1791,0,CHD+ADAM,ADAM only,1.36,,2,ADAM breaks Sister islands into Cayman Brac & Little Cayman Island. Therefore we aggregate to the Sister Island for comparability.
Beryl (observed snapshot),CYM,West Bay,15004,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),DOM,Región El Valle,0,29049,34815,ADAM+GDACS,matched w/ caveat,1.2,2,2,"GDACs admins we're aggregated to OCHA/Field Maps admin one. The admins we're aligned well enough to make this possible, but significant spatial discrepancies may make numbers less directly comparable"
Beryl (observed snapshot),DOM,Región Enriquillo,252479,452249,441052,CHD+ADAM+GDACS,matched w/ caveat,1.79,4,4,"GDACs admins we're aggregated to OCHA/Field Maps admin one. The admins we're aligned well enough to make this possible, but significant spatial discrepancies may make numbers less directly comparable"
Beryl (observed snapshot),DOM,Región Ozama,0,170073,165782,ADAM+GDACS,matched w/ caveat,1.03,2,2,"GDACs admins we're aggregated to OCHA/Field Maps admin one. The admins we're aligned well enough to make this possible, but significant spatial discrepancies may make numbers less directly comparable"
Beryl (observed snapshot),DOM,Región Valdesia,7387,947418,999196,CHD+ADAM+GDACS,matched w/ caveat,135.26,3,4,"GDACs admins we're aggregated to OCHA/Field Maps admin one. The admins we're aligned well enough to make this possible, but significant spatial discrepancies may make numbers less directly comparable"
Beryl (observed snapshot),GRD,Carriacou,5110,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),GRD,St. Andrew,29741,26353,0,CHD+ADAM,ADAM only,1.13,,1,
Beryl (observed snapshot),GRD,St. David,15388,16537,0,CHD+ADAM,ADAM only,1.07,,1,Boundaries not directly comparable
Beryl (observed snapshot),GRD,St. George,36389,32102,0,CHD+ADAM,ADAM only,1.13,,1,
Beryl (observed snapshot),GRD,St. John,8615,7502,0,CHD+ADAM,ADAM only,1.15,,1,
Beryl (observed snapshot),GRD,St. Mark,3758,4226,0,CHD+ADAM,ADAM only,1.12,,1,
Beryl (observed snapshot),GRD,St. Patrick,9545,10271,0,CHD+ADAM,ADAM only,1.08,,1,Boundaries not directly comparable
Beryl (observed snapshot),GRD,Petite Martinique,319,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),HND,Gracias a Dios,0,180,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),HTI,West,538317,4424423,2965589,CHD+ADAM+GDACS,diverge 8.22x,8.22,1,1,
Beryl (observed snapshot),HTI,South-East,676687,568824,765307,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.35,1,1,
Beryl (observed snapshot),HTI,Artibonite,0,0,2375,GDACS,GDACS only,,1,,
Beryl (observed snapshot),HTI,Centre,0,142475,124845,ADAM+GDACS,well-matched (GDACS~ADAM),1.14,1,1,
Beryl (observed snapshot),HTI,South,830300,674244,805024,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.23,1,1,
Beryl (observed snapshot),HTI,Grande'Anse,497320,473185,499372,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.06,1,1,
Beryl (observed snapshot),HTI,Nippes,363261,342890,370192,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.08,1,1,
Beryl (observed snapshot),JAM,Clarendon,250509,274838,0,CHD+ADAM,ADAM only,1.1,,1,
Beryl (observed snapshot),JAM,Hanover,67644,70725,0,CHD+ADAM,ADAM only,1.05,,1,
Beryl (observed snapshot),JAM,Kingston,91255,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),JAM,Manchester,200722,206755,0,CHD+ADAM,ADAM only,1.03,,1,
Beryl (observed snapshot),JAM,Portland,74844,82005,0,CHD+ADAM,ADAM only,1.1,,1,
Beryl (observed snapshot),JAM,Saint Andrew,590202,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),JAM,Saint Ann,173477,186906,0,CHD+ADAM,ADAM only,1.08,,1,
Beryl (observed snapshot),JAM,Saint Catherine,568935,560934,0,CHD+ADAM,ADAM only,1.01,,1,
Beryl (observed snapshot),JAM,Saint Elizabeth,154654,158073,0,CHD+ADAM,ADAM only,1.02,,1,
Beryl (observed snapshot),JAM,Saint James,194325,196002,0,CHD+ADAM,ADAM only,1.01,,1,
Beryl (observed snapshot),JAM,Saint Mary,108603,118204,0,CHD+ADAM,ADAM only,1.09,,1,
Beryl (observed snapshot),JAM,Saint Thomas,90581,98612,0,CHD+ADAM,ADAM only,1.09,,1,
Beryl (observed snapshot),JAM,Trelawny,74560,80397,0,CHD+ADAM,ADAM only,1.08,,1,
Beryl (observed snapshot),JAM,Westmoreland,144852,152281,0,CHD+ADAM,ADAM only,1.05,,1,
Beryl (observed snapshot),JAM,Pedro Bank,0,0,0,,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),JAM,Morant Cays,0,0,0,,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Anse La Raye,6261,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Canaries,2024,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Soufriere,8782,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Choiseul,6362,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Laborie,6850,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Vieux-Fort,17398,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Micoud,17120,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Dennery,13150,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Gros Islet,27754,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),LCA,Castries,66320,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),MEX,Campeche,0,99534,125080,ADAM+GDACS,well-matched (GDACS~ADAM),1.26,1,1,
Beryl (observed snapshot),MEX,Quintana Roo,1514796,1400346,1290272,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.17,1,1,
Beryl (observed snapshot),MEX,Tamaulipas,0,99,219,ADAM+GDACS,diverge 2.21x,2.21,1,1,
Beryl (observed snapshot),MEX,Yucatán,2091955,2105198,2159734,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.03,1,1,
Beryl (observed snapshot),TTO,Port of Spain,0,30628,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Arima,0,39786,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Diego Martin,0,93234,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,San Juan-Laventille,0,148586,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Tunapuna/Piarco,0,230416,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Couva-Tabaquite-Talparo,0,118203,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Chaguanas,0,103170,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Mayaro/Rio Claro,0,29644,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Sangre Grande,1453,84086,0,CHD+ADAM,ADAM only,57.87,,1,
Beryl (observed snapshot),TTO,Princes Town,0,97,0,ADAM,ADAM only,,,1,
Beryl (observed snapshot),TTO,Tobago,63710,61528,0,CHD+ADAM,ADAM only,1.04,,1,
Beryl (observed snapshot),UMI,Navassa Island,0,0,0,,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),USA,Arkansas,0,154844,161050,ADAM+GDACS,well-matched (GDACS~ADAM),1.04,1,1,
Beryl (observed snapshot),USA,Louisiana,0,701136,681181,ADAM+GDACS,well-matched (GDACS~ADAM),1.03,1,1,
Beryl (observed snapshot),USA,Oklahoma,0,24327,25698,ADAM+GDACS,well-matched (GDACS~ADAM),1.06,1,1,
Beryl (observed snapshot),USA,Texas,8591100,11276008,11191248,CHD+ADAM+GDACS,well-matched (GDACS~ADAM),1.31,1,1,
Beryl (observed snapshot),VCT,Charlotte,22587,24911,0,CHD+ADAM,ADAM only,1.1,,1,
Beryl (observed snapshot),VCT,Grenadines,6851,0,0,CHD,no GDACS/ADAM overlap,,,,
Beryl (observed snapshot),VCT,Saint Andrew,12565,16205,0,CHD+ADAM,ADAM only,1.29,,1,
Beryl (observed snapshot),VCT,Saint David,4639,5849,0,CHD+ADAM,ADAM only,1.26,,1,
